Id,Description,Reason
AMYS_HUMAN,"(P04745) Salivary alpha-amylase precursor (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",Human saliva
K1C10_HUMAN,"(P13645) Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)",Human skin
K1C9_HUMAN,"(P35527) Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)",Human skin
K2C1_HUMAN,"(P04264) Keratin, type II cytoskeletal 1 (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (67 kDa cytokeratin) (Hair alpha protein)",Human skin
K22E_HUMAN,"(P35908) Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (K2e) (CK 2e)",Human skin
K1H1_HUMAN,"(Q15323) Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1)",Human hair
K1H2_HUMAN,"(Q14532) Keratin, type I cuticular Ha2 (Hair keratin, type I Ha2)",Human hair
K1H4_HUMAN,"(O76011) Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4)",Human hair
K1H5_HUMAN,"(Q92764) Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5)",Human hair
K1H6_HUMAN,"(O76013) Keratin, type I cuticular Ha6 (Hair keratin, type I Ha6)",Human hair
K1H7_HUMAN,"(O76014) Keratin, type I cuticular Ha7 (Hair keratin, type I Ha7)",Human hair
K1H8_HUMAN,"(O76015) Keratin, type I cuticular Ha8 (Hair keratin, type I Ha8)",Human hair
K1HA_HUMAN,"(O76009) Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I)",Human hair
K1HB_HUMAN,"(Q14525) Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II)",Human hair
KRHB1_HUMAN,"(Q14533) Keratin, type II cuticular Hb1 (Hair keratin, type II Hb1) (ghHKb1) (ghHb1) (MLN 137)",Human hair
KRHB2_HUMAN,"(Q9NSB4) Keratin, type II cuticular Hb2 (Hair keratin, type II Hb2)",Human hair
KRHB3_HUMAN,"(P78385) Keratin, type II cuticular Hb3 (Hair keratin, type II Hb3)",Human hair
KRHB4_HUMAN,"(Q9NSB2) Keratin, type II cuticular Hb4 (Hair keratin, type II Hb4)",Human hair
KRHB5_HUMAN,"(P78386) Keratin, type II cuticular Hb5 (Hair keratin, type II Hb5)",Human hair
KRHB6_HUMAN,"(O43790) Keratin, type II cuticular Hb6 (Hair keratin, type II Hb6) (ghHb6)",Human hair
K1C15_SHEEP,"(O77727) Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)",Sheep wool
K1M1_SHEEP,"(P02534) Keratin, type I microfibrillar 48 kDa, component 8C-1 (Low-sulfur keratin)",Sheep wool
K1M2_SHEEP,"(P25690) Keratin, type I microfibrillar, 47.6 kDa (Low-sulfur keratin)",Sheep wool
K2M1_SHEEP,"(P02539) Keratin, type II microfibrillar (Low-sulfur keratin) (Fragment)",Sheep wool
K2M2_SHEEP,"(P15241) Keratin, type II microfibrillar, component 7C",Sheep wool
K2M3_SHEEP,"(P25691) Keratin, type II microfibrillar, component 5",Sheep wool
KRA33_SHEEP,"(P02444) Keratin, high sulfur matrix protein, IIIB3",Sheep wool
KRA34_SHEEP,"(P02445) Keratin, high sulfur matrix protein, IIIB4",Sheep wool
KRA3A_SHEEP,"(P02443) Keratin, high-sulfur matrix protein, IIIA3A",Sheep wool
KRA3_SHEEP,"(P02441) Keratin, high-sulfur matrix protein, IIIA3",Sheep wool
KRA61_SHEEP,"(Q02958) Keratin, glycine/tyrosine-rich of hair",Sheep wool
KRB2A_SHEEP,"(P02438) Keratin, high-sulfur matrix protein, B2A",Sheep wool
KRB2B_SHEEP,"(P02439) Keratin, high-sulfur matrix protein, B2B",Sheep wool
KRB2C_SHEEP,"(P02440) Keratin, high-sulfur matrix protein, B2C",Sheep wool
KRB2D_SHEEP,"(P08131) Keratin, high-sulfur matrix protein, B2D",Sheep wool
KRUC_SHEEP,"(P26372) Keratin, ultra high-sulfur matrix protein (UHS keratin)",Sheep wool
SRPP_HEVBR,(O82803) Small rubber particle protein - Hevea brasiliensis,Latex gloves
REF_HEVBR,(P15252) Rubber elongation factor protein - Hevea brasiliensis,Latex gloves
CYC_HORSE,(P00004) Horse heart cytochrome C,Molecular weight marker/mass spec. standard
CAH2_BOVIN,(P00921) Bovine carbonic anhydrase 2 (EC 4.2.1.1),Molecular weight marker
ADH1_YEAST,(P00330) Yeast alcohol dehydrogenase 1,Molecular weight marker
ALDOA_RABIT,(P00883) Rabbit fructose-bisphosphate aldolase A,Molecular weight marker
LYSC_CHICK,(P00698) Hen egg lysozyme C precursor,Molecular weight marker/mass spec. standard
MYG_HORSE,(P68082) Horse heart myoglobin,Molecular weight marker/mass spec. standard
OVAL_CHICK,(P01012) Hen egg ovalbumin,Molecular weight marker
BGAL_ECOLI,(P00722) E. coli beta-galactosidase (E.C. 3.2.1.23),Molecular weight marker
DHE3_BOVIN,"(P00366) Bovine glutamate dehydrogenase 1, mitochondrial precursor (E.C. 1.4.1.3)",Molecular weight marker
ALBU_HUMAN,"(P02768) Serum albumin 66,393 Recombinant Pichia pastoris",UPS
ANT3_HUMAN,"(P01008) Antithrombin-III 49,033 Plasma Glycosylation",UPS
ANXA5_HUMAN,"(P08758) Annexin A5 35,782 Placenta Acetylation",UPS
B2MG_HUMAN,"(P61769) Beta-2-microglobulin 11,729 Urine",UPS
BID_HUMAN,"(P55957) BH3 interacting domain death agonist [BID] 21,978 Recombinant E. coli",UPS
CAH1_HUMAN,"(P00915) Carbonic anhydrase 1 28,738 Erythrocytes Acetylation",UPS
CAH2_HUMAN,"(P00918) Carbonic anhydrase 2 29,095 Erythrocytes Acetylation",UPS
CATA_HUMAN,"(P04040) Catalase 59,583 Erythrocytes",UPS
CATD_HUMAN,"(P07339) Cathepsin D 26,624 Liver Glycosylation",UPS
CATG_HUMAN,"(P08311) Cathepsin G 26,751 Sputum Glycosylation",UPS
CO5_HUMAN,"(P01031) Complement C5 [Complement C5a] 8,266 Recombinant E. coli",UPS
CRP_HUMAN,"(P02741) C-reactive protein 23,030 Plasma",UPS
CYB5_HUMAN,"(P00167) Cytochrome b5 16,021 Recombinant E. coli 6-His",UPS
CYC_HUMAN,"(P99999) Cytochrome c [Apocytochrome c] 11,608 Recombinant E. coli",UPS
EGF_HUMAN,"(P01133) Epidermal growth factor 6,211 Recombinant E. coli",UPS
FABPH_HUMAN,"(P05413) Fatty acid-binding protein 14,716 Plasma Acetylation,Phosphorylation",UPS
GELS_HUMAN,"(P06396) Gelsolin 82,954 Plasma Phosphorylation",UPS
GSTA1_HUMAN,"(P08263) Glutathione S-transferase A1 [GST A1-1] 25,482 Recombinant E. coli",UPS
GSTP1_HUMAN,"(P09211) Glutathione S-transferase P [GST] 23,220 Placenta",UPS
HBA_HUMAN,"(P69905) Hemoglobin alpha chain 15,127 Erythrocytes",UPS
HBB_HUMAN,"(P68871) Hemoglobin beta chain 15,867 Erythrocytes,Acetylation,Nitrosylation,Glycosylation",UPS
IGF2_HUMAN,"(P01344) Insulin-like growth factor II 7,464 Recombinant E. coli",UPS
IL8_HUMAN,"(P10145) Interleukin-8 8,381 Recombinant E. coli",UPS
KCRM_HUMAN,"(P06732) Creatine kinase M-type [CK-MM] 43,070 Heart",UPS
LALBA_HUMAN,"(P00709) Alpha-lactalbumin 14,070 Milk Glycosylation",UPS
LEP_HUMAN,"(P41159) Leptin 16,024 Recombinant E. coli",UPS
LYSC_HUMAN,"(P61626) Lysozyme C 14,692 Milk",UPS
MYG_HUMAN,"(P02144) Myoglobin 17,051 Heart",UPS
NEDD8_HUMAN,"(Q15843) Neddylin [Nedd8] 9,071 Recombinant E. coli",UPS
NQO1_HUMAN,"(P15559) NAD(P)H dehydrogenase [quinone] 1[DT Diaphorase] 30,984 Recombinant E. coli",UPS
NQO2_HUMAN,"(P16083) Ribosyldihydronicotinamide dehydrogenase(quinone) [Quinone oxidoreductase 2 or NQO2] 25,817 Recombinant E. coli",UPS
PDGFB_HUMAN,"(P01127) Platelet-derived growth factor B chain 12,286 Recombinant E. coli",UPS
PPIA_HUMAN,"(P62937) Peptidyl-prolyl cis-trans isomerase A [Cyclophilin A] 17,947 Recombinant E. coli",UPS
PRDX1_HUMAN,"(Q06830) Peroxiredoxin 1 22,106 Recombinant E. coli",UPS
RASH_HUMAN,"(P01112) GTPase HRas [Ras protein] 21,292 Recombinant E. coli",UPS
RETBP_HUMAN,"(P02753) Retinol-binding protein 21,065 Urine",UPS
SODC_HUMAN,"(P00441) Superoxide dismutase [Cu-Zn] 15,800 Erythrocytes Acetylation",UPS
SUMO1_HUMAN,"(P63165) Small ubiquitin-related modifier 1 [SUMO-1] 37,420 Recombinant E. coli GST",UPS
SYH_HUMAN,"(P12081) Histidyl-tRNA synthetase [Jo-1] 58,223 Recombinant E. coli",UPS
TAU_HUMAN,"(P10636) Microtubule-associated protein tau [Tau protein] 46,810 Recombinant E. coli 6-His",UPS
THIO_HUMAN,"(P10599) Thioredoxin 12,424 Recombinant E. coli 6-His",UPS
TNFA_HUMAN,"(P01375) Tumor necrosis factor [TNF-alpha] 17,350 Recombinant E. coli",UPS
TRFE_HUMAN,"(P02787) Serotransferrin [Apotransferrin] 75,143 Plasma Glycosylation",UPS
TRFL_HUMAN,"(P02788) Lactotransferrin 78,289 Milk Glycosylation",UPS
UB2E1_HUMAN,(P51965) Ubiquitin-conjugating enzyme E2 E1 [UbcH6],UPS
UBE2C_HUMAN,"(O00762) Ubiquitin-conjugating enzyme E2 C [UbcH10] 20,473 Recombinant E. coli 6-His",UPS
UBE2I_HUMAN,"(P63279) Ubiquitin-conjugating enzyme E2 I [UbcH9] 22,907 Recombinant E. coli",UPS
RS27A_HUMAN,"(P62979) Ubiquitin-40S ribosomal protein S27a 9,387 Recombinant E. coli 6-His",UPS
GAG_SCVLA,"(P32503) Major coat protein, Saccharomyces cerevisiae virus L-A (ScV-L-A) (ScVL1)",virus infects yeast cultures
